sku,description,qty_on_hand,last_movement_at,unit_price_gbp,distinct_customers
21243,PINK  POLKADOT PLATE,1,2010-12-01 11:49:00,1.69,1
21244,BLUE POLKADOT PLATE,9,2010-12-02 12:47:00,1.69,2
21245,GREEN POLKADOT PLATE,9,2010-12-02 12:47:00,1.69,2
21258,VICTORIAN SEWING BOX LARGE,46,2010-12-03 11:28:00,17.67,6
21314,SMALL GLASS HEART TRINKET POT,99,2010-12-02 15:40:00,2.76,2
21324,HANGING MEDINA LANTERN SMALL,8,2010-12-01 12:54:00,2.95,2
21326,AGED GLASS SILVER T-LIGHT HOLDER,222,2010-12-02 19:18:00,0.64,7
21328,BALLOONS  WRITING SET,31,2010-12-03 10:44:00,1.86,6
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,5,2010-12-01 17:06:00,15.93,3
21363,HOME SMALL WOOD LETTERS,4,2010-12-01 14:41:00,4.95,2
21411,GINGHAM HEART  DOORSTOP RED,7,2010-12-03 11:28:00,5.66,2
21448,12 DAISY PEGS IN WOOD BOX,8,2010-12-01 11:49:00,1.65,1
21463,MIRRORED DISCO BALL,2,2010-12-02 16:29:00,5.95,3
21464,DISCO BALL ROTATOR BATTERY OPERATED,3,2010-12-02 16:29:00,4.25,2
21479,WHITE SKULL HOT WATER BOTTLE,77,2010-12-03 11:28:00,4.64,10
21484,CHICK GREY HOT WATER BOTTLE,67,2010-12-03 10:43:00,4.10,9
21485,RETROSPOT HEART HOT WATER BOTTLE,74,2010-12-03 10:43:00,4.89,11
21506,"FANCY FONT BIRTHDAY CARD,",216,2010-12-02 18:25:00,0.41,7
21523,DOORMAT FANCY FONT HOME SWEET HOME,26,2010-12-01 15:40:00,8.63,5
21533,RETROSPOT LARGE MILK JUG,22,2010-12-02 15:18:00,4.78,4
21544,SKULLS  WATER TRANSFER TATTOOS,23,2010-12-02 14:09:00,1.12,2
21557,SET OF 6 FUNKY BEAKERS,4,2010-12-03 11:13:00,4.87,1
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,16,2010-12-03 11:27:00,3.80,2
21587,COSY HOUR GIANT TUBE MATCHES,40,2010-12-02 15:46:00,2.55,7
21592,RETROSPOT CIGAR BOX MATCHES,29,2010-12-02 10:17:00,1.25,4
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,7,2010-12-01 15:08:00,2.95,2
21622,VINTAGE UNION JACK CUSHION COVER,18,2010-12-01 12:35:00,4.95,2
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,43,2010-12-02 15:18:00,1.25,5
21676,FLOWERS  STICKERS,6,2010-12-01 11:45:00,0.85,1
21678,PAISLEY PATTERN  STICKERS,6,2010-12-01 11:45:00,0.85,1
21705,BAG 500g SWIRLY MARBLES,21,2010-12-01 17:35:00,2.08,3
21724,PANDA AND BUNNIES STICKER SHEET,24,2010-12-02 10:27:00,0.85,2
21730,GLASS STAR FROSTED T-LIGHT HOLDER,107,2010-12-03 10:33:00,4.29,2
21731,RED TOADSTOOL LED NIGHT LIGHT,534,2010-12-03 10:36:00,1.90,10
21733,RED HANGING HEART T-LIGHT HOLDER,113,2010-12-03 11:28:00,3.45,9
21738,COSY SLIPPER SHOES SMALL  RED,15,2010-12-02 12:09:00,2.95,3
21739,COSY SLIPPER SHOES SMALL GREEN,9,2010-12-02 12:09:00,2.95,3
21743,STAR PORTABLE TABLE LIGHT,123,2010-12-02 12:28:00,3.38,5
21744,SNOWFLAKE PORTABLE TABLE LIGHT,2,2010-12-01 11:21:00,2.95,1
21754,HOME BUILDING BLOCK WORD,39,2010-12-02 19:59:00,6.49,10
21755,LOVE BUILDING BLOCK WORD,26,2010-12-03 10:26:00,6.69,7
21756,BATH BUILDING BLOCK WORD,26,2010-12-02 10:53:00,6.69,7
21777,RECIPE BOX WITH METAL HEART,-1,2010-12-01 17:06:00,6.36,3
21786,POLKADOT RAIN HAT,206,2010-12-03 11:28:00,0.61,3
21791,VINTAGE HEADS AND TAILS CARD GAME,406,2010-12-03 11:27:00,1.49,11
21811,CHRISTMAS HANGING HEART WITH BELL,16,2010-12-01 15:40:00,1.56,3
21823,PAINTED METAL HEART WITH HOLLY BELL,9,2010-12-01 15:35:00,1.96,2
21824,PAINTED METAL STAR WITH HOLLY BELLS,3,2010-12-01 11:45:00,1.45,1
21832,CHOCOLATE CALCULATOR,27,2010-12-01 17:06:00,2.22,2
21844,RED RETROSPOT MUG,21,2010-12-02 14:26:00,4.13,3
21866,UNION JACK FLAG LUGGAGE TAG,2,2010-12-01 11:45:00,1.25,1
21867,PINK UNION JACK  LUGGAGE TAG,2,2010-12-01 12:43:00,1.25,2
21871,SAVE THE PLANET MUG,92,2010-12-03 10:09:00,1.34,3
21880,RED RETROSPOT TAPE,22,2010-12-02 10:27:00,0.65,2
21883,STARS GIFT TAPE,49,2010-12-03 11:19:00,0.65,3
21889,WOODEN BOX OF DOMINOES,77,2010-12-03 10:26:00,1.56,6
21891,TRADITIONAL WOODEN SKIPPING ROPE,45,2010-12-02 19:59:00,1.43,6
21907,I'M ON HOLIDAY METAL SIGN,3,2010-12-03 11:35:00,2.10,2
21912,VINTAGE SNAKES & LADDERS,16,2010-12-02 19:59:00,4.72,3
21913,VINTAGE SEASIDE JIGSAW PUZZLES,18,2010-12-03 11:35:00,4.72,3
21914,BLUE HARMONICA IN BOX,80,2010-12-02 15:39:00,1.53,6
21915,RED  HARMONICA IN BOX,1549,2010-12-02 17:38:00,1.51,7
21929,JUMBO BAG PINK VINTAGE PAISLEY,131,2010-12-02 17:40:00,2.44,3
21931,JUMBO STORAGE BAG SUKI,68,2010-12-02 16:00:00,2.23,7
21934,SKULL SHOULDER BAG,11,2010-12-01 17:06:00,2.50,1
21955,DOORMAT UNION JACK GUNS AND ROSES,3,2010-12-02 09:29:00,7.95,2
21975,PACK OF 60 DINOSAUR CAKE CASES,84,2010-12-02 17:12:00,0.84,3
21977,PACK OF 60 PINK PAISLEY CAKE CASES,266,2010-12-02 18:27:00,0.68,8
21980,PACK OF 12 RED RETROSPOT TISSUES,73,2010-12-02 18:15:00,0.29,6
21983,PACK OF 12 BLUE PAISLEY TISSUES,24,2010-12-01 13:24:00,0.29,2
21984,PACK OF 12 PINK PAISLEY TISSUES,26,2010-12-02 15:46:00,0.43,3
22064,PINK DOUGHNUT TRINKET POT,27,2010-12-02 14:40:00,2.50,2
22068,BLACK PIRATE TREASURE CHEST,3,2010-12-01 14:32:00,2.50,1
22074,6 RIBBONS SHIMMERING PINKS,1,2010-12-01 11:45:00,1.65,1
22075,6 RIBBONS ELEGANT CHRISTMAS,86,2010-12-02 15:20:00,1.91,3
22077,6 RIBBONS RUSTIC CHARM,105,2010-12-03 11:36:00,1.99,10
22083,PAPER CHAIN KIT RETROSPOT,47,2010-12-03 11:36:00,3.94,6
22086,PAPER CHAIN KIT 50'S CHRISTMAS,438,2010-12-03 11:36:00,3.25,19
22098,BOUDOIR SQUARE TISSUE BOX,1,2010-12-01 11:21:00,1.25,1
22100,SKULLS SQUARE TISSUE BOX,5,2010-12-01 17:06:00,1.88,2
22109,FULL ENGLISH BREAKFAST PLATE,30,2010-12-03 11:36:00,5.36,3
22110,BIRD HOUSE HOT WATER BOTTLE,13,2010-12-02 11:57:00,3.82,3
22111,SCOTTIE DOG HOT WATER BOTTLE,108,2010-12-03 11:36:00,5.86,14
22112,CHOCOLATE HOT WATER BOTTLE,56,2010-12-03 11:36:00,6.25,10
22114,HOT WATER BOTTLE TEA AND SYMPATHY,125,2010-12-03 11:36:00,4.64,12
22117,METAL SIGN HER DINNER IS SERVED,2,2010-12-01 17:06:00,4.43,1
22127,PARTY CONES CARNIVAL ASSORTED,12,2010-12-01 10:29:00,1.25,1
22128,PARTY CONES CANDY ASSORTED,78,2010-12-03 09:49:00,1.25,3
22139,RETROSPOT TEA SET CERAMIC 11 PC,79,2010-12-01 11:52:00,2.12,1
22141,CHRISTMAS CRAFT TREE TOP ANGEL,20,2010-12-03 11:36:00,3.27,3
22144,CHRISTMAS CRAFT LITTLE FRIENDS,43,2010-12-03 11:36:00,2.94,7
22150,3 STRIPEY MICE FELTCRAFT,21,2010-12-02 14:09:00,1.95,4
22153,ANGEL DECORATION STARS ON DRESS,8,2010-12-03 11:35:00,0.56,2
22168,ORGANISER WOOD ANTIQUE WHITE,2,2010-12-02 12:18:00,8.50,3
22174,PHOTO CUBE,82,2010-12-03 11:36:00,2.15,5
22176,BLUE OWL SOFT TOY,1,2010-12-01 09:41:00,2.95,1
22178,VICTORIAN GLASS HANGING T-LIGHT,106,2010-12-03 11:36:00,1.88,4
22180,RETROSPOT LAMP,16,2010-12-03 09:49:00,9.95,4
22183,CAKE STAND VICTORIAN FILIGREE MED,12,2010-12-02 14:26:00,6.54,3
22188,BLACK HEART CARD HOLDER,51,2010-12-03 11:13:00,5.65,3
22189,CREAM HEART CARD HOLDER,89,2010-12-02 08:43:00,4.94,3
22191,IVORY DINER WALL CLOCK,12,2010-12-02 13:45:00,8.50,3
22192,BLUE DINER WALL CLOCK,6,2010-12-01 13:23:00,8.50,2
22193,RED DINER WALL CLOCK,7,2010-12-02 18:08:00,8.50,3
22195,LARGE HEART MEASURING SPOONS,42,2010-12-03 11:36:00,2.38,4
22196,SMALL HEART MEASURING SPOONS,33,2010-12-03 11:36:00,1.25,3
22197,SMALL POPCORN HOLDER,386,2010-12-03 11:36:00,1.03,15
22198,LARGE POPCORN HOLDER,167,2010-12-03 11:36:00,2.06,9
22219,LOVEBIRD HANGING DECORATION WHITE,56,2010-12-03 11:36:00,1.08,5
22224,WHITE LOVEBIRD LANTERN,9,2010-12-03 11:36:00,4.92,1
22242,5 HOOK HANGER MAGIC TOADSTOOL,24,2010-12-01 14:33:00,1.65,4
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,22,2010-12-01 13:04:00,1.65,2
22261,FELT EGG COSY WHITE RABBIT,3,2010-12-01 17:06:00,1.25,1
22262,FELT EGG COSY CHICKEN,4,2010-12-01 17:06:00,1.25,1
22271,FELTCRAFT DOLL ROSIE,12,2010-12-03 11:36:00,3.54,4
22273,FELTCRAFT DOLL MOLLY,8,2010-12-03 11:36:00,3.44,3
22274,FELTCRAFT DOLL EMILY,19,2010-12-03 11:36:00,3.44,5
22296,HEART IVORY TRELLIS LARGE,42,2010-12-02 14:26:00,2.08,3
22297,HEART IVORY TRELLIS SMALL,52,2010-12-03 11:28:00,1.75,3
22310,IVORY KNITTED MUG COSY,29,2010-12-03 11:36:00,2.50,2
22318,FIVE HEART HANGING DECORATION,19,2010-12-02 11:41:00,3.69,3
22326,ROUND SNACK BOXES SET OF4 WOODLAND,74,2010-12-03 11:36:00,3.32,7
22327,ROUND SNACK BOXES SET OF 4 SKULLS,5,2010-12-02 19:18:00,2.95,3
22328,ROUND SNACK BOXES SET OF 4 FRUITS,93,2010-12-02 17:12:00,2.88,6
22338,STAR DECORATION PAINTED ZINC,31,2010-12-03 11:36:00,0.86,2
22349,DOG BOWL CHASING BALL DESIGN,13,2010-12-02 13:14:00,3.75,2
22352,LUNCH BOX WITH CUTLERY RETROSPOT,16,2010-12-03 11:36:00,4.06,2
22371,AIRLINE BAG VINTAGE TOKYO 78,16,2010-12-03 11:36:00,5.83,3
22379,RECYCLING BAG RETROSPOT,56,2010-12-03 11:36:00,2.68,8
22381,TOY TIDY PINK POLKADOT,52,2010-12-03 11:36:00,3.42,1
22382,LUNCH BAG SPACEBOY DESIGN,39,2010-12-03 11:36:00,1.97,7
22383,LUNCH BAG SUKI  DESIGN,42,2010-12-03 11:28:00,2.40,5
22384,LUNCH BAG PINK POLKADOT,21,2010-12-03 11:36:00,2.22,6
22386,JUMBO BAG PINK POLKADOT,71,2010-12-03 11:28:00,2.80,7
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,141,2010-12-02 14:06:00,1.91,8
22413,METAL SIGN TAKE IT OR LEAVE IT,25,2010-12-03 11:36:00,4.13,3
22417,PACK OF 60 SPACEBOY CAKE CASES,24,2010-12-01 11:29:00,0.55,1
22418,10 COLOUR SPACEBOY PEN,196,2010-12-03 11:36:00,1.03,7
22424,ENAMEL BREAD BIN CREAM,15,2010-12-03 11:36:00,17.49,3
22427,ENAMEL FLOWER JUG CREAM,9,2010-12-02 19:59:00,7.13,4
22428,ENAMEL FIRE BUCKET CREAM,16,2010-12-02 15:55:00,8.20,5
22435,SET OF 9 HEART SHAPED BALLOONS,3,2010-12-02 15:46:00,1.25,2
22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,2010-12-01 09:41:00,1.95,1
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,13,2010-12-02 13:49:00,2.10,5
22449,SILK PURSE BABUSHKA PINK,21,2010-12-03 11:35:00,3.92,5
22451,SILK PURSE BABUSHKA RED,15,2010-12-03 11:35:00,4.33,5
22457,NATURAL SLATE HEART CHALKBOARD,81,2010-12-03 11:36:00,3.86,9
22464,HANGING METAL HEART LANTERN,36,2010-12-02 17:48:00,1.65,3
22465,HANGING METAL STAR LANTERN,60,2010-12-02 17:48:00,1.65,4
22466,FAIRY TALE COTTAGE NIGHTLIGHT,491,2010-12-03 11:36:00,2.24,5
22467,GUMBALL COAT RACK,130,2010-12-03 11:13:00,3.31,3
22468,BABUSHKA LIGHTS STRING OF 10,18,2010-12-03 10:43:00,6.75,8
22469,HEART OF WICKER SMALL,241,2010-12-03 11:36:00,2.17,13
22470,HEART OF WICKER LARGE,67,2010-12-03 11:36:00,3.60,10
22473,TV DINNER TRAY VINTAGE PAISLEY,2,2010-12-03 11:36:00,7.98,1
22488,NATURAL SLATE RECTANGLE CHALKBOARD,12,2010-12-01 11:41:00,1.65,1
22492,MINI PAINT SET VINTAGE,398,2010-12-03 11:36:00,0.78,6
22502,PICNIC BASKET WICKER SMALL,65,2010-12-03 11:28:00,6.55,8
22531,MAGIC DRAWING SLATE CIRCUS PARADE,64,2010-12-03 11:36:00,0.60,4
22533,MAGIC DRAWING SLATE BAKE A CAKE,72,2010-12-02 15:20:00,0.38,2
22537,MAGIC DRAWING SLATE DINOSAUR,26,2010-12-03 11:19:00,0.56,2
22540,MINI JIGSAW CIRCUS PARADE,75,2010-12-03 11:36:00,0.59,3
22544,MINI JIGSAW SPACEBOY,98,2010-12-03 11:36:00,0.56,4
22549,PICTURE DOMINOES,100,2010-12-03 11:36:00,1.83,7
22553,PLASTERS IN TIN SKULLS,25,2010-12-03 11:36:00,2.04,8
22556,PLASTERS IN TIN CIRCUS PARADE,36,2010-12-02 10:17:00,1.65,3
22557,PLASTERS IN TIN VINTAGE PAISLEY,58,2010-12-02 15:46:00,1.81,10
22558,CLOTHES PEGS RETROSPOT PACK 24,193,2010-12-03 11:36:00,1.60,9
22568,FELTCRAFT CUSHION OWL,31,2010-12-03 11:36:00,4.14,8
22569,FELTCRAFT CUSHION BUTTERFLY,23,2010-12-03 11:36:00,5.30,5
22570,FELTCRAFT CUSHION RABBIT,27,2010-12-02 16:46:00,4.23,7
22610,PENS ASSORTED FUNNY FACE,36,2010-12-01 11:41:00,0.85,1
22619,SET OF 6 SOLDIER SKITTLES,38,2010-12-03 11:36:00,4.45,9
22620,4 TRADITIONAL SPINNING TOPS,56,2010-12-03 11:36:00,1.79,4
22622,BOX OF VINTAGE ALPHABET BLOCKS,19,2010-12-03 11:36:00,12.77,6
22623,BOX OF VINTAGE JIGSAW BLOCKS,16,2010-12-03 10:26:00,4.95,4
22629,SPACEBOY LUNCH BOX,132,2010-12-03 11:36:00,2.45,4
22630,DOLLY GIRL LUNCH BOX,105,2010-12-03 11:36:00,2.23,4
22631,CIRCUS PARADE LUNCH BOX,25,2010-12-02 17:17:00,2.52,3
22632,HAND WARMER RED POLKA DOT,418,2010-12-03 11:35:00,2.19,22
22633,HAND WARMER UNION JACK,335,2010-12-03 11:35:00,1.98,17
22637,PIGGY BANK RETROSPOT,46,2010-12-02 11:45:00,2.91,6
22644,CERAMIC CHERRY CAKE MONEY BANK,14,2010-12-01 14:32:00,2.09,2
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,186,2010-12-02 19:59:00,1.69,6
22652,TRAVEL SEWING KIT,60,2010-12-02 17:17:00,1.65,9
22654,DELUXE SEWING KIT,49,2010-12-03 11:36:00,7.50,4
22659,LUNCH BOX I LOVE LONDON,418,2010-12-03 11:28:00,2.12,8
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,43,2010-12-03 11:36:00,0.98,4
22662,LUNCH BAG DOLLY GIRL DESIGN,19,2010-12-02 11:57:00,2.16,4
22663,JUMBO BAG DOLLY GIRL DESIGN,20,2010-12-02 11:57:00,2.40,4
22664,TOY TIDY DOLLY GIRL DESIGN,10,2010-12-03 11:36:00,3.37,2
22706,WRAP COWBOYS,25,2010-12-01 11:41:00,0.42,1
22714,CARD BIRTHDAY COWBOY,12,2010-12-01 11:41:00,0.42,1
22716,CARD CIRCUS PARADE,37,2010-12-02 16:12:00,0.42,3
22719,GUMBALL MONOCHROME COAT RACK,37,2010-12-01 14:32:00,1.78,1
22726,ALARM CLOCK BAKELIKE GREEN,121,2010-12-03 11:36:00,4.23,13
22727,ALARM CLOCK BAKELIKE RED,183,2010-12-03 09:45:00,4.07,10
22728,ALARM CLOCK BAKELIKE PINK,83,2010-12-03 11:36:00,4.86,5
22729,ALARM CLOCK BAKELIKE ORANGE,27,2010-12-02 14:47:00,4.30,6
22730,ALARM CLOCK BAKELIKE IVORY,54,2010-12-03 09:45:00,4.18,8
22736,RIBBON REEL MAKING SNOWMEN,35,2010-12-03 11:36:00,1.99,4
22745,POPPY'S PLAYHOUSE BEDROOM,42,2010-12-03 11:36:00,2.55,9
22748,POPPY'S PLAYHOUSE KITCHEN,25,2010-12-03 11:36:00,2.80,6
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,24,2010-12-02 19:59:00,4.14,5
22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,2010-12-02 19:59:00,5.04,2
22752,SET 7 BABUSHKA NESTING BOXES,241,2010-12-03 11:36:00,8.26,11
22759,SET OF 3 NOTEBOOKS IN PARCEL,70,2010-12-03 11:36:00,2.16,6
22766,PHOTO FRAME CORNICE,20,2010-12-03 11:13:00,3.54,4
22767,TRIPLE PHOTO FRAME CORNICE,7,2010-12-02 13:39:00,9.95,5
22768,FAMILY PHOTO FRAME CORNICE,23,2010-12-03 11:36:00,11.11,8
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,106,2010-12-02 18:27:00,1.25,7
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,76,2010-12-03 11:28:00,1.61,5
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 15:21:00,1.25,2
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,84,2010-12-02 15:18:00,1.25,4
22778,GLASS BELL JAR SMALL,30,2010-12-02 16:45:00,3.81,4
22779,WOODEN OWLS LIGHT GARLAND,208,2010-12-02 16:29:00,3.96,3
22780,LIGHT GARLAND BUTTERFILES PINK,196,2010-12-02 12:50:00,3.96,3
22783,SET 3 WICKER OVAL BASKETS W LIDS,7,2010-12-02 10:53:00,19.20,4
22785,SQUARECUSHION COVER PINK UNION FLAG,12,2010-12-03 11:36:00,8.46,4
22798,ANTIQUE GLASS DRESSING TABLE POT,34,2010-12-03 11:36:00,3.84,6
22803,IVORY EMBROIDERED QUILT,17,2010-12-02 15:26:00,35.75,1
22804,CANDLEHOLDER PINK HANGING HEART,20,2010-12-03 11:28:00,3.44,5
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,25,2010-12-01 17:06:00,1.67,2
22809,SET OF 6 T-LIGHTS SANTA,9,2010-12-03 11:36:00,3.69,3
22810,SET OF 6 T-LIGHTS SNOWMEN,11,2010-12-03 11:36:00,3.94,4
22812,PACK 3 BOXES CHRISTMAS PANNETONE,73,2010-12-03 11:36:00,2.63,7
22813,PACK 3 BOXES BIRD PANNETONE,34,2010-12-03 11:36:00,3.08,4
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,2010-12-01 10:29:00,165.00,1
22835,HOT WATER BOTTLE I AM SO POORLY,53,2010-12-03 11:36:00,6.59,4
22837,HOT WATER BOTTLE BABUSHKA,105,2010-12-03 11:36:00,5.50,13
22838,3 TIER CAKE TIN RED AND CREAM,4,2010-12-03 11:27:00,19.90,1
22839,3 TIER CAKE TIN GREEN AND CREAM,5,2010-12-03 11:28:00,19.19,4
22848,BREAD BIN DINER STYLE PINK,10,2010-12-02 13:08:00,16.28,3
22851,SET 20 NAPKINS FAIRY CAKES DESIGN,5,2010-12-03 11:36:00,1.12,2
22865,HAND WARMER OWL DESIGN,377,2010-12-03 11:36:00,2.33,21
22866,HAND WARMER SCOTTY DOG DESIGN,381,2010-12-03 11:36:00,2.29,22
22867,HAND WARMER BIRD DESIGN,292,2010-12-03 11:36:00,2.35,18
22900,SET 2 TEA TOWELS I LOVE LONDON,56,2010-12-03 11:36:00,3.47,10
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,376,2010-12-03 11:36:00,3.22,19
22912,YELLOW COAT RACK PARIS FASHION,4,2010-12-03 11:35:00,4.95,2
22913,RED COAT RACK PARIS FASHION,4,2010-12-03 11:35:00,4.95,2
22914,BLUE COAT RACK PARIS FASHION,11,2010-12-03 11:35:00,4.95,4
22915,ASSORTED BOTTLE TOP  MAGNETS,50,2010-12-03 11:36:00,2.28,3
22922,FRIDGE MAGNETS US DINER ASSORTED,12,2010-12-01 09:59:00,0.85,1
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,24,2010-12-02 11:02:00,0.85,2
22926,IVORY GIANT GARDEN THERMOMETER,27,2010-12-03 11:36:00,6.69,7
22940,FELTCRAFT CHRISTMAS FAIRY,34,2010-12-03 11:35:00,5.02,8
22941,CHRISTMAS LIGHTS 10 REINDEER,30,2010-12-03 11:35:00,9.11,13
22960,JAM MAKING SET WITH JARS,107,2010-12-03 11:35:00,4.58,18
22961,JAM MAKING SET PRINTED,353,2010-12-03 11:35:00,1.58,27
22962,JAM JAR WITH PINK LID,112,2010-12-02 18:27:00,0.95,6
22963,JAM JAR WITH GREEN LID,111,2010-12-02 18:27:00,0.93,7
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,42,2010-12-03 11:27:00,2.36,7
22968,ROSE COTTAGE KEEPSAKE BOX,35,2010-12-03 11:35:00,10.70,7
22969,HOMEMADE JAM SCENTED CANDLES,286,2010-12-02 18:27:00,1.65,16
22972,CHILDREN'S SPACEBOY MUG,34,2010-12-02 15:46:00,2.03,6
22975,SPACEBOY CHILDRENS EGG CUP,20,2010-12-02 14:14:00,1.67,3
35004B,SET OF 3 BLACK FLYING DUCKS,7,2010-12-02 17:30:00,4.65,1
35004C,SET OF 3 COLOURED  FLYING DUCKS,176,2010-12-02 13:08:00,4.97,5
35004G,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,6.35,1
37370,RETRO COFFEE MUGS ASSORTED,205,2010-12-03 11:28:00,3.60,6
37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,2.95,1
37444C,PINK BREAKFAST CUP AND SAUCER,2,2010-12-01 17:06:00,4.43,1
47570B,TEA TIME TABLE CLOTH,2,2010-12-02 18:08:00,10.65,2
