movement_id,sku,description,qty,moved_at,invoice_no,unit_price_gbp,customer_id,country
mv-0000051,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00,536373,2.75,17850,United Kingdom
mv-0000052,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00,536373,4.95,17850,United Kingdom
mv-0000053,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,536373,1.06,17850,United Kingdom
mv-0000054,21871,SAVE THE PLANET MUG,6,2010-12-01 09:02:00,536373,1.06,17850,United Kingdom
mv-0000055,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:02:00,536373,1.06,17850,United Kingdom
mv-0000056,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:02:00,536373,1.06,17850,United Kingdom
mv-0000057,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00,536373,4.95,17850,United Kingdom
mv-0000058,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00,536373,6.95,17850,United Kingdom
mv-0000059,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,536373,2.10,17850,United Kingdom
mv-0000060,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:02:00,536373,2.55,17850,United Kingdom
mv-0000061,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:02:00,536373,3.39,17850,United Kingdom
mv-0000062,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:02:00,536373,3.39,17850,United Kingdom
mv-0000063,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:02:00,536373,7.65,17850,United Kingdom
mv-0000064,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00,536373,4.25,17850,United Kingdom
mv-0000065,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,536374,10.95,15100,United Kingdom
mv-0000066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,536375,2.55,17850,United Kingdom
mv-0000067,71053,WHITE METAL LANTERN,6,2010-12-01 09:32:00,536375,3.39,17850,United Kingdom
mv-0000068,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:32:00,536375,2.75,17850,United Kingdom
mv-0000069,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:32:00,536375,4.95,17850,United Kingdom
mv-0000070,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:32:00,536375,1.06,17850,United Kingdom
mv-0000071,21871,SAVE THE PLANET MUG,6,2010-12-01 09:32:00,536375,1.06,17850,United Kingdom
mv-0000072,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:32:00,536375,1.06,17850,United Kingdom
mv-0000073,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00,536375,1.06,17850,United Kingdom
mv-0000074,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00,536375,4.95,17850,United Kingdom
mv-0000075,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00,536375,6.95,17850,United Kingdom
mv-0000076,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00,536375,2.10,17850,United Kingdom
mv-0000077,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:32:00,536375,2.55,17850,United Kingdom
mv-0000078,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:32:00,536375,3.39,17850,United Kingdom
mv-0000079,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:32:00,536375,3.39,17850,United Kingdom
mv-0000080,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:32:00,536375,7.65,17850,United Kingdom
mv-0000081,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:32:00,536375,4.25,17850,United Kingdom
mv-0000082,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00,536376,3.45,15291,United Kingdom
mv-0000083,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00,536376,2.55,15291,United Kingdom
mv-0000084,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,536377,1.85,17850,United Kingdom
mv-0000085,22633,HAND WARMER UNION JACK,6,2010-12-01 09:34:00,536377,1.85,17850,United Kingdom
mv-0000086,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,536378,1.95,14688,United Kingdom
mv-0000087,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,536378,1.95,14688,United Kingdom
mv-0000088,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00,536378,2.95,14688,United Kingdom
mv-0000089,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,536378,0.85,14688,United Kingdom
mv-0000090,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-12-01 09:37:00,536378,3.75,14688,United Kingdom
mv-0000091,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-01 09:37:00,536378,3.75,14688,United Kingdom
mv-0000092,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00,536378,0.85,14688,United Kingdom
mv-0000093,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,536378,1.65,14688,United Kingdom
mv-0000094,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,536378,2.55,14688,United Kingdom
mv-0000095,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,2010-12-01 09:37:00,536378,2.55,14688,United Kingdom
mv-0000096,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,536378,0.42,14688,United Kingdom
mv-0000097,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,536378,0.55,14688,United Kingdom
mv-0000098,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,536378,0.55,14688,United Kingdom
mv-0000099,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,536378,0.55,14688,United Kingdom
mv-0000100,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,536378,2.95,14688,United Kingdom
mv-0000101,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,2010-12-01 09:37:00,536378,1.25,14688,United Kingdom
mv-0000102,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2010-12-01 09:37:00,536378,0.38,14688,United Kingdom
mv-0000103,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,536378,1.95,14688,United Kingdom
mv-0000104,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,536378,1.95,14688,United Kingdom
mv-0000105,22961,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,536380,1.45,17809,United Kingdom
mv-0000106,22139,RETROSPOT TEA SET CERAMIC 11 PC,23,2010-12-01 09:41:00,536381,4.25,15311,United Kingdom
mv-0000107,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,536381,4.95,15311,United Kingdom
mv-0000108,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,536381,1.95,15311,United Kingdom
mv-0000109,82567,"AIRLINE LOUNGE,METAL SIGN",2,2010-12-01 09:41:00,536381,2.10,15311,United Kingdom
mv-0000110,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2010-12-01 09:41:00,536381,1.25,15311,United Kingdom
mv-0000111,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,536381,1.25,15311,United Kingdom
mv-0000112,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,536381,1.25,15311,United Kingdom
mv-0000113,71270,PHOTO CLIP LINE,1,2010-12-01 09:41:00,536381,1.25,15311,United Kingdom
mv-0000114,22262,FELT EGG COSY CHICKEN,1,2010-12-01 09:41:00,536381,0.85,15311,United Kingdom
mv-0000115,22637,PIGGY BANK RETROSPOT,1,2010-12-01 09:41:00,536381,2.55,15311,United Kingdom
mv-0000116,21934,SKULL SHOULDER BAG,10,2010-12-01 09:41:00,536381,1.65,15311,United Kingdom
mv-0000117,21169,YOU'RE CONFUSING ME METAL SIGN,3,2010-12-01 09:41:00,536381,1.69,15311,United Kingdom
mv-0000118,21166,COOK WITH WINE METAL SIGN,1,2010-12-01 09:41:00,536381,1.95,15311,United Kingdom
mv-0000119,21175,GIN + TONIC DIET METAL SIGN,2,2010-12-01 09:41:00,536381,2.10,15311,United Kingdom
mv-0000120,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000121,37444C,PINK BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000122,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000123,22083,PAPER CHAIN KIT RETROSPOT,1,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000124,84971S,SMALL HEART FLOWERS HOOK,6,2010-12-01 09:41:00,536381,0.85,15311,United Kingdom
mv-0000125,71270,PHOTO CLIP LINE,3,2010-12-01 09:41:00,536381,1.25,15311,United Kingdom
mv-0000126,47580,TEA TIME DES TEA COSY,2,2010-12-01 09:41:00,536381,2.55,15311,United Kingdom
mv-0000127,22261,FELT EGG COSY WHITE RABBIT,1,2010-12-01 09:41:00,536381,0.85,15311,United Kingdom
mv-0000128,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-01 09:41:00,536381,0.85,15311,United Kingdom
mv-0000129,22644,CERAMIC CHERRY CAKE MONEY BANK,1,2010-12-01 09:41:00,536381,1.45,15311,United Kingdom
mv-0000130,21533,RETROSPOT LARGE MILK JUG,1,2010-12-01 09:41:00,536381,4.95,15311,United Kingdom
mv-0000131,21557,SET OF 6 FUNKY BEAKERS,2,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000132,15056BL,EDWARDIAN PARASOL BLACK,2,2010-12-01 09:41:00,536381,5.95,15311,United Kingdom
mv-0000133,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-01 09:41:00,536381,5.95,15311,United Kingdom
mv-0000134,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-01 09:41:00,536381,1.45,15311,United Kingdom
mv-0000135,22176,BLUE OWL SOFT TOY,1,2010-12-01 09:41:00,536381,2.95,15311,United Kingdom
mv-0000136,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,2010-12-01 09:41:00,536381,1.95,15311,United Kingdom
mv-0000137,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,536381,1.65,15311,United Kingdom
mv-0000138,22778,GLASS CLOCHE SMALL,3,2010-12-01 09:41:00,536381,3.95,15311,United Kingdom
mv-0000139,22719,GUMBALL MONOCHROME COAT RACK,36,2010-12-01 09:41:00,536381,1.06,15311,United Kingdom
mv-0000140,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-12-01 09:41:00,536381,6.75,15311,United Kingdom
mv-0000141,D,Discount,-1,2010-12-01 09:41:00,C536379,27.50,14527,United Kingdom
mv-0000142,10002,INFLATABLE POLITICAL GLOBE,12,2010-12-01 09:45:00,536382,0.85,16098,United Kingdom
mv-0000143,21912,VINTAGE SNAKES & LADDERS,8,2010-12-01 09:45:00,536382,3.75,16098,United Kingdom
mv-0000144,21832,CHOCOLATE CALCULATOR,12,2010-12-01 09:45:00,536382,1.65,16098,United Kingdom
mv-0000145,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:45:00,536382,1.95,16098,United Kingdom
mv-0000146,22379,RECYCLING BAG RETROSPOT,10,2010-12-01 09:45:00,536382,2.10,16098,United Kingdom
mv-0000147,22381,TOY TIDY PINK POLKADOT,50,2010-12-01 09:45:00,536382,1.85,16098,United Kingdom
mv-0000148,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-01 09:45:00,536382,2.95,16098,United Kingdom
mv-0000149,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 09:45:00,536382,3.75,16098,United Kingdom
mv-0000150,22926,IVORY GIANT GARDEN THERMOMETER,12,2010-12-01 09:45:00,536382,5.95,16098,United Kingdom
mv-0000151,22839,3 TIER CAKE TIN GREEN AND CREAM,2,2010-12-01 09:45:00,536382,14.95,16098,United Kingdom
mv-0000152,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-01 09:45:00,536382,14.95,16098,United Kingdom
mv-0000153,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-12-01 09:45:00,536382,16.95,16098,United Kingdom
mv-0000154,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,C536383,4.65,15311,United Kingdom
mv-0000155,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-01 09:53:00,536384,6.45,18074,United Kingdom
mv-0000156,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,2010-12-01 09:53:00,536384,0.65,18074,United Kingdom
mv-0000157,22464,HANGING METAL HEART LANTERN,12,2010-12-01 09:53:00,536384,1.65,18074,United Kingdom
mv-0000158,21324,HANGING MEDINA LANTERN SMALL,6,2010-12-01 09:53:00,536384,2.95,18074,United Kingdom
mv-0000159,22457,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 09:53:00,536384,2.95,18074,United Kingdom
mv-0000160,22469,HEART OF WICKER SMALL,40,2010-12-01 09:53:00,536384,1.45,18074,United Kingdom
mv-0000161,22470,HEART OF WICKER LARGE,40,2010-12-01 09:53:00,536384,2.55,18074,United Kingdom
mv-0000162,22224,WHITE LOVEBIRD LANTERN,6,2010-12-01 09:53:00,536384,2.95,18074,United Kingdom
mv-0000163,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2010-12-01 09:53:00,536384,12.75,18074,United Kingdom
mv-0000164,22189,CREAM HEART CARD HOLDER,4,2010-12-01 09:53:00,536384,3.95,18074,United Kingdom
mv-0000165,22427,ENAMEL FLOWER JUG CREAM,3,2010-12-01 09:53:00,536384,5.95,18074,United Kingdom
mv-0000166,22428,ENAMEL FIRE BUCKET CREAM,6,2010-12-01 09:53:00,536384,6.95,18074,United Kingdom
mv-0000167,22424,ENAMEL BREAD BIN CREAM,8,2010-12-01 09:53:00,536384,10.95,18074,United Kingdom
mv-0000168,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 09:56:00,536385,19.95,17420,United Kingdom
mv-0000169,22961,JAM MAKING SET PRINTED,12,2010-12-01 09:56:00,536385,1.45,17420,United Kingdom
mv-0000170,22960,JAM MAKING SET WITH JARS,6,2010-12-01 09:56:00,536385,4.25,17420,United Kingdom
mv-0000171,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,536385,1.95,17420,United Kingdom
mv-0000172,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-01 09:56:00,536385,1.25,17420,United Kingdom
mv-0000173,22168,ORGANISER WOOD ANTIQUE WHITE,2,2010-12-01 09:56:00,536385,8.50,17420,United Kingdom
mv-0000174,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,536385,1.65,17420,United Kingdom
mv-0000175,84880,WHITE WIRE EGG HOLDER,36,2010-12-01 09:57:00,536386,4.95,16029,United Kingdom
mv-0000176,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-12-01 09:57:00,536386,1.65,16029,United Kingdom
mv-0000177,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,536386,1.65,16029,United Kingdom
mv-0000178,79321,CHILLI LIGHTS,192,2010-12-01 09:58:00,536387,3.82,16029,United Kingdom
mv-0000179,22780,LIGHT GARLAND BUTTERFILES PINK,192,2010-12-01 09:58:00,536387,3.37,16029,United Kingdom
mv-0000180,22779,WOODEN OWLS LIGHT GARLAND,192,2010-12-01 09:58:00,536387,3.37,16029,United Kingdom
mv-0000181,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,2010-12-01 09:58:00,536387,1.45,16029,United Kingdom
mv-0000182,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,536387,1.25,16029,United Kingdom
mv-0000183,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 09:59:00,536388,5.95,16250,United Kingdom
mv-0000184,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 09:59:00,536388,5.95,16250,United Kingdom
mv-0000185,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 09:59:00,536388,7.95,16250,United Kingdom
mv-0000186,21363,HOME SMALL WOOD LETTERS,3,2010-12-01 09:59:00,536388,4.95,16250,United Kingdom
mv-0000187,21411,GINGHAM HEART  DOORSTOP RED,3,2010-12-01 09:59:00,536388,4.25,16250,United Kingdom
mv-0000188,22318,FIVE HEART HANGING DECORATION,6,2010-12-01 09:59:00,536388,2.95,16250,United Kingdom
mv-0000189,22464,HANGING METAL HEART LANTERN,12,2010-12-01 09:59:00,536388,1.65,16250,United Kingdom
mv-0000190,22915,ASSORTED BOTTLE TOP  MAGNETS,12,2010-12-01 09:59:00,536388,0.42,16250,United Kingdom
mv-0000191,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2010-12-01 09:59:00,536388,0.85,16250,United Kingdom
mv-0000192,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 09:59:00,536388,1.45,16250,United Kingdom
mv-0000193,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2010-12-01 09:59:00,536388,0.85,16250,United Kingdom
mv-0000194,21115,ROSE CARAVAN DOORSTOP,4,2010-12-01 09:59:00,536388,6.75,16250,United Kingdom
mv-0000195,22469,HEART OF WICKER SMALL,12,2010-12-01 09:59:00,536388,1.65,16250,United Kingdom
mv-0000196,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-12-01 09:59:00,536388,1.65,16250,United Kingdom
mv-0000197,22941,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,536389,8.50,12431,Australia
mv-0000198,21622,VINTAGE UNION JACK CUSHION COVER,8,2010-12-01 10:03:00,536389,4.95,12431,Australia
mv-0000199,21791,VINTAGE HEADS AND TAILS CARD GAME,12,2010-12-01 10:03:00,536389,1.25,12431,Australia
mv-0000200,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,2010-12-01 10:03:00,536389,5.45,12431,Australia
mv-0000201,35004G,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,536389,6.35,12431,Australia
mv-0000202,85014B,RED RETROSPOT UMBRELLA,6,2010-12-01 10:03:00,536389,5.95,12431,Australia
mv-0000203,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-01 10:03:00,536389,5.95,12431,Australia
mv-0000204,22193,RED DINER WALL CLOCK,2,2010-12-01 10:03:00,536389,8.50,12431,Australia
mv-0000205,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 10:03:00,536389,3.75,12431,Australia
mv-0000206,22727,ALARM CLOCK BAKELIKE RED,4,2010-12-01 10:03:00,536389,3.75,12431,Australia
mv-0000207,22192,BLUE DINER WALL CLOCK,2,2010-12-01 10:03:00,536389,8.50,12431,Australia
mv-0000208,22191,IVORY DINER WALL CLOCK,2,2010-12-01 10:03:00,536389,8.50,12431,Australia
mv-0000209,22195,LARGE HEART MEASURING SPOONS,24,2010-12-01 10:03:00,536389,1.65,12431,Australia
mv-0000210,22196,SMALL HEART MEASURING SPOONS,24,2010-12-01 10:03:00,536389,0.85,12431,Australia
mv-0000211,22941,CHRISTMAS LIGHTS 10 REINDEER,2,2010-12-01 10:19:00,536390,8.50,17511,United Kingdom
mv-0000212,22960,JAM MAKING SET WITH JARS,12,2010-12-01 10:19:00,536390,3.75,17511,United Kingdom
mv-0000213,22961,JAM MAKING SET PRINTED,12,2010-12-01 10:19:00,536390,1.45,17511,United Kingdom
mv-0000214,22962,JAM JAR WITH PINK LID,48,2010-12-01 10:19:00,536390,0.72,17511,United Kingdom
mv-0000215,22963,JAM JAR WITH GREEN LID,48,2010-12-01 10:19:00,536390,0.72,17511,United Kingdom
mv-0000216,22968,ROSE COTTAGE KEEPSAKE BOX,8,2010-12-01 10:19:00,536390,8.50,17511,United Kingdom
mv-0000217,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,2010-12-01 10:19:00,536390,0.64,17511,United Kingdom
mv-0000218,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-01 10:19:00,536390,2.55,17511,United Kingdom
mv-0000219,20668,DISCO BALL CHRISTMAS DECORATION,288,2010-12-01 10:19:00,536390,0.10,17511,United Kingdom
mv-0000220,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,536390,2.55,17511,United Kingdom
mv-0000221,22197,SMALL POPCORN HOLDER,100,2010-12-01 10:19:00,536390,0.72,17511,United Kingdom
mv-0000222,22198,LARGE POPCORN HOLDER,50,2010-12-01 10:19:00,536390,1.45,17511,United Kingdom
mv-0000223,21533,RETROSPOT LARGE MILK JUG,12,2010-12-01 10:19:00,536390,4.25,17511,United Kingdom
